waveAng,fluxmaggies,fluxmaggies_adj
3530.491343,5.658153125924444e-09,2.9427721781320247e-09
3532.0675030000007,5.725747189115562e-09,2.977927453031592e-09
3533.643663,6.371352802930676e-09,3.313703137446382e-09
3535.219824,6.397592348874845e-09,3.327350171037171e-09
3536.7959840000003,4.847256299288832e-09,2.5210295056289804e-09
3538.3721439999995,4.935379172257911e-09,2.566861693811074e-09
3539.948305,6.8124969543177915e-09,3.543139617222734e-09
3541.524465,6.670540805446292e-09,3.4693090587141984e-09
3543.100625,6.725512972181133e-09,3.4978997594673696e-09
3544.676786,7.61364810466423e-09,3.959813620779817e-09
3546.2529460000005,4.889482326266346e-09,2.54299101402527e-09
3547.8291059999997,6.260160650715408e-09,3.25587275274603e-09
3549.405267,1.0599314684143775e-08,5.512641256888643e-09
3550.981427,9.417116518613946e-09,4.897786940800917e-09
3552.5575869999993,7.014694591172242e-09,3.6483014194887524e-09
3554.133748,4.730941032868408e-09,2.4605346193478474e-09
3555.709908,5.05892513822195e-09,2.63111722441763e-09
3557.286068,7.94898829354308e-09,4.134222081646805e-09
3558.862229,8.800282738168033e-09,4.5769753177800825e-09
3560.4383890000004,9.205861512256115e-09,4.787914453901872e-09
3562.0145489999995,8.638529226021252e-09,4.4928482670151e-09
3563.59071,5.562728714379639e-09,2.89314250266035e-09
3565.16687,4.69855098381817e-09,2.4436887452486376e-09
3566.743031,7.395760182560139e-09,3.8464913933941535e-09
3568.319191,8.783709798313042e-09,4.568355829189067e-09
3569.8953510000006,7.824484353293592e-09,4.069468314246044e-09
3571.4715119999996,6.570987558191269e-09,3.417532000061882e-09
3573.047672,5.52228993712402e-09,2.872110532337689e-09
3574.623832,5.192436096417174e-09,2.7005554889022912e-09
3576.199993,5.501342417170717e-09,2.8612158503544445e-09
3577.776153,4.279533895645469e-09,2.2257604209714378e-09
3579.352313,3.1054605436488468e-09,1.615131772638882e-09
3580.928474,3.747426509163465e-09,1.949014497369034e-09
3582.504634,6.2661099156954866e-09,3.2589669304881442e-09
3584.0807940000004,8.064687871186609e-09,4.194396751814533e-09
3585.6569549999995,8.11551575934484e-09,4.220832037643036e-09
3587.233115,7.671177483364912e-09,3.9897343124433054e-09
3588.809275,7.116910275756986e-09,3.701463196144551e-09
3590.385436,8.10980810376049e-09,4.217863519527288e-09
3591.961596,7.240326819179579e-09,3.7656514148481395e-09
3593.5377560000006,4.85884175189869e-09,2.5270550314238113e-09
3595.1139169999997,4.910469758709057e-09,2.553906454259621e-09
3596.6900769999997,6.258033333869264e-09,3.2547663477602364e-09
3598.2662370000003,7.647909258983832e-09,3.977632645729931e-09
3599.8423979999993,8.042655931203846e-09,4.182938069348962e-09
3601.418558,6.5315957238672745e-09,3.397044538603281e-09
3602.994718,8.122590793308443e-09,4.224511721215408e-09
3604.570879,7.2967516816934105e-09,3.79499765413598e-09
3606.147039,6.732618651327024e-09,3.5015953814188957e-09
3607.7231990000005,1.0237305448949122e-08,5.324362381812489e-09
3609.2993599999995,9.50626885531483e-09,4.944154547018e-09
3610.87552,6.186597968246402e-09,3.2176132340478358e-09
3612.45168,6.699172763995386e-09,3.4842003720365007e-09
3614.027841,7.216406329156504e-09,3.753210508608846e-09
3615.604001,7.249542815155488e-09,3.770444600177009e-09
3617.1801610000007,8.298928209888617e-09,4.316223774941602e-09
3618.7563219999997,8.8779667217613e-09,4.617378300965056e-09
3620.332482,8.861076245580592e-09,4.6085936635977405e-09
3621.9086420000003,8.361243835262904e-09,4.348633765363059e-09
3623.4848029999994,8.700895143829742e-09,4.525284414235932e-09
3625.060963,9.125787634462411e-09,4.746268500792754e-09
3626.637123,9.114640368680423e-09,4.7404708733911235e-09
3628.213284,7.588883303293051e-09,3.94693359317184e-09
3629.789444,6.43279205176395e-09,3.345657329580825e-09
3631.3656040000005,7.0396969304680885e-09,3.661304989174932e-09
3632.9417649999996,7.066571419549012e-09,3.675282252958498e-09
3634.517925,6.907741029816732e-09,3.5926755009770987e-09
3636.094085,5.424917960446523e-09,2.8214679396896783e-09
3637.670246,4.335318380366913e-09,2.254773603534056e-09
3639.246406,5.506093093244407e-09,2.8636866490525074e-09
3640.822566,6.596191978580757e-09,3.4306406709368874e-09
3642.398727,7.306576873623084e-09,3.800107678699115e-09
3643.974887,7.417016162213107e-09,3.857546503453847e-09
3645.5510470000004,7.732597752470662e-09,4.02167863333304e-09
3647.1272079999994,7.803847554490183e-09,4.0587352365062185e-09
3648.703368,7.314529410333479e-09,3.8042437462915066e-09
3650.279528,5.8602673727259776e-09,3.0478906097217467e-09
3651.855689,4.052504691515147e-09,2.1076838665429086e-09
3653.431849,6.8259221119350054e-09,3.5501219627767913e-09
3655.0080090000006,9.95359502298101e-09,5.176806257118791e-09
3656.5841699999996,7.986149098593509e-09,4.153549197895807e-09
3658.16033,7.605313193853432e-09,3.955478682665675e-09
3659.7364900000002,7.862684567545004e-09,4.089336021110087e-09
3661.312651,5.603650352641354e-09,2.9144256061536796e-09
3662.888811,5.430801097767387e-09,2.8245277248249806e-09
3664.464971,6.252613084721548e-09,3.2519473080426015e-09
3666.041132,7.0567109607311824e-09,3.670153886294157e-09
3667.617292,7.561186304155438e-09,3.932528546743091e-09
3669.1934520000004,6.931381968123275e-09,3.604971014012028e-09
3670.7696129999995,5.885759026967188e-09,3.061148669234468e-09
3672.345773,5.98100017901363e-09,3.110683032518374e-09
3673.921933,8.36679748307456e-09,4.351522184941597e-09
3675.498094,9.297037698997852e-09,4.835334652627567e-09
3677.074254,7.52848914183142e-09,3.91552294483562e-09
3678.6504140000006,8.562004036311952e-09,4.453047965716961e-09
3680.2265749999997,7.702147233232455e-09,4.0058414972871275e-09
3681.8027349999998,6.49868458882831e-09,3.3799276507446503e-09
3683.3788950000003,7.115285124703181e-09,3.700617964635264e-09
3684.9550559999993,7.011920486017137e-09,3.6468586237057514e-09
3686.531216,6.7868703997750895e-09,3.5298113968562474e-09
3688.107376,6.528504921037381e-09,3.395437030221398e-09
3689.683537,7.303768918243939e-09,3.798647277613587e-09
3691.259697,7.655456160531484e-09,3.981557744858793e-09
3692.8358570000005,8.713610680578603e-09,4.531897690148017e-09
3694.4120179999995,8.590067348860943e-09,4.467643529597516e-09
3695.988178,6.813125908849222e-09,3.5434667327770873e-09
3697.564338,7.209196450799213e-09,3.749460693260028e-09
3699.140499,7.011436210033562e-09,3.646606754613614e-09
3700.716659,8.728393520474922e-09,4.5395861582740114e-09
3702.292819,9.761158800725775e-09,5.076721309201264e-09
3703.8689799999997,7.280949436774422e-09,3.786778999450486e-09
3705.44514,6.115517520646484e-09,3.180644711112707e-09
3707.0213000000003,6.436042253790405e-09,3.347347740547778e-09
3708.5974609999994,6.83953743778475e-09,3.5572032137106434e-09
3710.173621,8.323694881827258e-09,4.32910477542072e-09
3711.749781,7.901076880650224e-09,4.109303637458702e-09
3713.325942,5.614873608746235e-09,2.9202627556755207e-09
3714.902102,4.774251520761888e-09,2.4830601494912955e-09
3716.4782630000004,7.973713929854555e-09,4.1470817397374715e-09
3718.0544229999996,1.0223805433619375e-08,5.31734110320221e-09
3719.630583,8.506495034227917e-09,4.424178060054576e-09
3721.206744,9.658544270019496e-09,5.023352095022357e-09
3722.782904,1.521291264034888e-08,7.912146431890238e-09
3724.359064,2.162030689228684e-08,1.1244594515087954e-08
3725.9352250000006,2.5520600681763656e-08,1.3273114386285015e-08
3727.511385,2.38623122085675e-08,1.2410648299978561e-08
3729.087545,1.931684693714742e-08,1.0046578533801123e-08
3730.6637060000003,1.5355871749552207e-08,7.98649862417124e-09
3732.2398659999994,1.166744438932338e-08,6.068169237324017e-09
3733.816026,5.502596435250887e-09,2.861868057785928e-09
3735.392187,5.573562931141725e-09,2.898777315107054e-09
3736.968347,7.336087098186955e-09,3.815455773012628e-09
3738.544507,7.59735495754438e-09,3.951339650745528e-09
3740.1206680000005,9.845107075776399e-09,5.120382313547234e-09
3741.6968279999996,9.418680368928086e-09,4.898600290155873e-09
3743.272988,8.770466874327148e-09,4.56146826227536e-09
3744.849149,7.147632539310183e-09,3.717441664811182e-09
3746.425309,6.1894886437144426e-09,3.2191166573653106e-09
