SN,time,DL,Flux(Jy),Luminosity(erg/s/Hz),logl,logrt,freqtime,logt,freq,vlum,logvlum
,919,2.16E+26,0.00126,7.39E+27,27.86853457,2.963315511,1470.4,3.167435494,8,5.91E+37,37.77162456
,976,2.16E+26,0.00138,8.09E+27,27.90804311,2.989449818,1561.6,3.1935698,8,6.47E+37,37.8111331
,1074,2.16E+26,0.00178,1.04E+28,28.01858403,3.031004281,1718.4,3.235124264,8,8.35E+37,37.92167401
,1253,2.16E+26,0.0019,1.11E+28,28.04691762,3.097951071,2004.8,3.302071054,8,8.91E+37,37.95000761
,1351,2.16E+26,0.00185,1.08E+28,28.03533575,3.130655349,2161.6,3.334775332,8,8.68E+37,37.93842574
,1482,2.16E+26,0.00167,9.79E+27,27.99088049,3.170848204,2371.2,3.374968186,8,7.83E+37,37.89397048
,1743,2.16E+26,0.00157,9.21E+27,27.96406368,3.241297387,2788.8,3.44541737,8,7.36E+37,37.86715366
,1810,2.16E+26,0.00172,1.01E+28,28.00369247,3.257678575,2896,3.461798558,8,8.07E+37,37.90678246
,385,2.16E+26,0.00067,3.93E+27,27.59423883,2.58546073,616,2.789580712,8,3.14E+37,37.49732881
,438,2.16E+26,0.00077,4.51E+27,27.65465475,2.641474111,700.8,2.845594093,8,3.61E+37,37.55774474
,544,2.16E+26,0.00121,7.09E+27,27.85094939,2.7355989,870.4,2.939718882,8,5.68E+37,37.75403938
,588,2.16E+26,0.00126,7.39E+27,27.86853457,2.769377326,940.8,2.973497309,8,5.91E+37,37.77162456
,645,2.16E+26,0.00138,8.09E+27,27.90804311,2.809559715,1032,3.013679697,8,6.47E+37,37.8111331
,743,2.16E+26,0.00178,1.04E+28,28.01858403,2.870988814,1188.8,3.075108796,8,8.35E+37,37.92167401
,922,2.16E+26,0.0019,1.11E+28,28.04691762,2.964730921,1475.2,3.168850904,8,8.91E+37,37.95000761
,1020,2.16E+26,0.00185,1.08E+28,28.03533575,3.008600172,1632,3.212720154,8,8.68E+37,37.93842574
,1151,2.16E+26,0.00167,9.79E+27,27.99088049,3.061075324,1841.6,3.265195306,8,7.83E+37,37.89397048
,1412,2.16E+26,0.00157,9.21E+27,27.96406368,3.149834697,2259.2,3.353954679,8,7.36E+37,37.86715366
