waveAng,fluxAng
3491.0873339999994,-6.8831172103041684e-18
3492.663495,-8.43354886287917e-18
3494.239655,-1.285913910472673e-17
3495.815815,-1.3980539789338657e-17
3497.391976,-1.9688803214046972e-17
3498.9681360000004,-2.5471158511871703e-17
3500.5442959999996,-2.1348390593686664e-17
3502.120457,-2.0556908011350475e-18
3503.696617,-1.8845093266111435e-18
3505.272777,-1.8962115971020008e-17
3506.848938,-2.0588192396707334e-17
3508.4250980000006,-2.3192534717235145e-17
3510.001258,-2.7246056442565918e-17
3511.5774189999997,-2.7626648525437685e-17
3513.1535790000003,-2.1246592639279263e-17
3514.7297389999994,-1.729933010647188e-17
3516.3059,-2.832448270778127e-17
3517.88206,-3.808153558565689e-17
3519.45822,-2.118723017551592e-17
3521.034381,-7.318587354824889e-18
3522.6105410000005,-1.9726207406858907e-17
3524.1867009999996,-2.5166578173397055e-17
3525.762862,-2.2262796989493037e-17
3527.339022,-1.4884048261037207e-17
3528.915182,-1.647973117056274e-17
3530.491343,-3.0829686957663404e-17
3532.0675030000007,-3.07881118670861e-17
3533.643663,-2.812406869632496e-17
3535.219824,-2.827242013199551e-17
3536.7959840000003,-3.556092361237783e-17
3538.3721439999995,-3.542233982065972e-17
3539.948305,-2.7195922356566547e-17
3541.524465,-2.810426526721499e-17
3543.100625,-2.812224981675038e-17
3544.676786,-2.4383494825268262e-17
3546.2529460000005,-3.692461097316845e-17
3547.8291059999997,-3.101275308257192e-17
3549.405267,-1.1762286099477209e-17
3550.981427,-1.6924626101253237e-17
3552.5575869999993,-2.7295877270025547e-17
3554.133748,-3.711650115300389e-17
3555.709908,-3.521645884252429e-17
3557.286068,-2.184921476741542e-17
3558.862229,-1.7625216484283342e-17
3560.4383890000004,-1.5400646913813293e-17
3562.0145489999995,-1.7524220982569263e-17
3563.59071,-3.083486565023926e-17
3565.16687,-3.4264152768706854e-17
3566.743031,-2.1827302117189472e-17
3568.319191,-1.5237835132071294e-17
3569.8953510000006,-1.9094309844427906e-17
3571.4715119999996,-2.4619795484122905e-17
3573.047672,-2.925290638414952e-17
3574.623832,-3.0690682335080455e-17
3576.199993,-2.9296321685161183e-17
3577.776153,-3.4679220247053685e-17
3579.352313,-3.98415423426733e-17
3580.928474,-3.6971272506168533e-17
3582.504634,-2.582175646471606e-17
3584.0807940000004,-1.7867757563248098e-17
3585.6569549999995,-1.7629159805597743e-17
3587.233115,-1.9570998077014823e-17
3588.809275,-2.1992968205355112e-17
3590.385436,-1.7788226539692503e-17
3591.961596,-2.2315420189130536e-17
3593.5377560000006,-3.346809225550144e-17
3595.1139169999997,-3.393606561988953e-17
3596.6900769999997,-2.8727670316350714e-17
3598.2662370000003,-2.3343241635683735e-17
3599.8423979999993,-2.2318758407571788e-17
3601.418558,-2.962061607441443e-17
3602.994718,-2.033202934687704e-17
3604.570879,-2.5345123438196827e-17
3606.147039,-2.659261510376126e-17
3607.7231990000005,-1.2385842565031187e-17
3609.2993599999995,-1.2862641425974747e-17
3610.87552,-2.513473785352189e-17
3612.45168,-2.5461251732198653e-17
3614.027841,-1.9723179207344828e-17
3615.604001,-2.589981776962922e-17
3617.1801610000007,-2.3538516383342276e-17
3618.7563219999997,-1.4294771210539576e-17
3620.332482,-1.2930187223741271e-17
3621.9086420000003,-2.0361140486634214e-17
3623.4848029999994,-2.2329211332691103e-17
3625.060963,-1.9915115944563097e-17
3626.637123,-2.264929707217278e-17
3628.213284,-3.0867753889899835e-17
3629.789444,-3.064329534976996e-17
3631.3656040000005,-2.2180177703986118e-17
3632.9417649999996,-1.9810764817838735e-17
3634.517925,-2.6129340517923195e-17
3636.094085,-3.215850761958534e-17
3637.670246,-3.539558801934604e-17
3639.246406,-3.4571430502275203e-17
3640.822566,-3.2193131553668655e-17
