waveAng,fluxmaggies
4822.314069972,1.2831685430934366e-08
4824.23383407,1.264904283698771e-08
4826.15359695,1.1185340006540729e-08
4828.073359829999,1.0318303712510332e-08
4829.9931239279995,9.509125096536457e-09
4831.912886808,7.848404725912672e-09
4833.832649688,6.018162183902983e-09
4835.752413786,5.315147330358669e-09
4837.672176666,6.333848613148036e-09
4839.591939546,8.031980278007669e-09
4841.511703644,9.411528615641662e-09
4843.431466524,1.0684114256828195e-08
4845.351229404,1.1552893163382688e-08
4847.270993502,1.2565476443040039e-08
4849.1907563820005,1.3268783705659237e-08
4851.110519262,1.323100166436123e-08
4853.03028336,1.3437077501983294e-08
4854.95004624,1.4045269193365956e-08
4856.869809119999,1.4311473507673981e-08
4858.7895732179995,1.4747740303838665e-08
4860.709336098,1.4723922683651177e-08
4862.629098978,1.5104082704375268e-08
4864.548863076,1.5492276391806835e-08
4866.468625956,1.5277713386795727e-08
4868.388388836,1.493190132871898e-08
4870.308152934,1.4608448929735388e-08
4872.227915814,1.5237300203086627e-08
4874.147678693999,1.5788042986055385e-08
4876.067442792,1.598993386984734e-08
4877.987205672,1.5669464267311354e-08
4879.906968552,1.4571416169173641e-08
4881.82673265,1.5142223587727428e-08
4883.74649553,1.592510245819343e-08
4885.6662584099995,1.5965201696415827e-08
4887.586022508,1.5921286127607567e-08
4889.505785388,1.5883255478196983e-08
4891.425549486,1.6079742784488424e-08
4893.345312366,1.61878730577424e-08
4895.265075246,1.608080623609148e-08
4897.184839344,1.6437750037255144e-08
4899.104602224,1.6251585814765153e-08
4901.024365104,1.6127718264241705e-08
4902.944129202,1.5720226634131832e-08
4904.863892081999,1.617250673497127e-08
4906.783654962,1.6706904920782397e-08
4908.70341906,1.6454743076684025e-08
4910.62318194,1.5381411955710103e-08
4912.54294482,1.5165745660821012e-08
4914.462708917999,1.53490106197496e-08
4916.382471798,1.5957727301743227e-08
4918.302234678,1.6881705049778185e-08
4920.221998776,1.713743463355568e-08
4922.141761656,1.6600659524662684e-08
4924.061524536,1.6566790553845206e-08
4925.981288634,1.6401740059061894e-08
4927.901051514,1.4867494945712893e-08
4929.820814394,1.4752440846732567e-08
4931.740578492,1.6355426836945586e-08
4933.6603413719995,1.6732840376231124e-08
4935.580104252,1.6878906168620276e-08
4937.49986835,1.6534563635031587e-08
4939.41963123,1.6098476831118868e-08
4941.33939411,1.610376748031554e-08
4943.2591582079995,1.5792039351953574e-08
4945.178921088,1.6054797445703984e-08
4947.098683968,1.6718325497468395e-08
4949.018448066,1.591795118851131e-08
4950.938210946,1.481665591178785e-08
4952.8579738260005,1.5769654419300143e-08
4954.777737924,1.5824180245531275e-08
4956.697500804,1.6395311009070875e-08
4958.617263684,1.6636320408357086e-08
4960.537027781999,1.537814759665948e-08
4962.456790662,1.605765705578195e-08
4964.376553542,1.619831435589181e-08
4966.29631764,1.4922231919198914e-08
4968.21608052,1.4260241162391169e-08
4970.1358434,1.5475203272782884e-08
4972.0556074979995,1.637065354409876e-08
4973.975370378,1.606817958396754e-08
4975.895133258,1.545959976443508e-08
4977.814897356,1.5489822951251614e-08
4979.734660236,1.6144491583979143e-08
4981.654423116,1.638326056867269e-08
4983.574187214,1.5813043210214438e-08
4985.493950094,1.5185494908742165e-08
4987.413712974,1.5015983745974027e-08
4989.333477071999,1.4167112319874248e-08
4991.2532399520005,1.3139628451094607e-08
4993.173002832,1.2570707787012351e-08
4995.09276693,1.1084842954339165e-08
4997.012529809999,9.537915231153673e-09
4998.93229269,1.0669196796830869e-08
5000.852056788,1.2363882851102634e-08
5002.771819668,1.3493702105016441e-08
5004.691582548,1.3968730537970387e-08
5006.611346646,1.4063077528037973e-08
5008.531109525999,1.4264639792091783e-08
5010.450872406001,1.4825723930181074e-08
5012.370636504,1.5457022812368532e-08
5014.290399384,1.5826176392607406e-08
5016.210162264,1.5780631693321712e-08
5018.129926362,1.5336781581465943e-08
5020.049689242,1.580034372305835e-08
5021.969452121999,1.5902014079008123e-08
5023.889216219999,1.6155281281518105e-08
5025.8089791,1.6684225678563624e-08
5027.7287419799995,1.6497315189578735e-08
5029.648506078,1.615998340736434e-08
5031.568268958,1.625059079473331e-08
5033.488031838,1.583002547143921e-08
5035.407795935999,1.5547167928268546e-08
5037.327558816,1.6109872153231925e-08
5039.247321696,1.6936801773605224e-08
5041.167085794,1.7149360863300787e-08
5043.086848674,1.744169935134274e-08
5045.006611554,1.724691067498164e-08
5046.9263756519995,1.5722377369152183e-08
5048.846138532,1.535026077643557e-08
5050.765901412,1.6643154630656877e-08
5052.68566551,1.7158749902472092e-08
5054.605428389999,1.6867882247327243e-08
5056.5251912700005,1.670751353609931e-08
5058.444955368,1.6832602248324608e-08
5060.364718248,1.660022072639307e-08
5062.284481128,1.6526355513147e-08
5064.204245226,1.667661983558433e-08
5066.124008106,1.713856232215927e-08
5068.043770986001,1.7456008939650997e-08
5069.963535084001,1.739947276567453e-08
5071.883297964,1.7633921442738264e-08
5073.803062062,1.7400840329151097e-08
5075.7228249419995,1.7236960020730616e-08
5077.642587822,1.691184854793262e-08
5079.56235192,1.7266701731387756e-08
5081.482114799999,1.6847352235285842e-08
5083.40187768,1.5606348847652253e-08
5085.321641778,1.589070496832772e-08
5087.241404658,1.6657221491916097e-08
5089.161167538,1.6561371138130312e-08
5091.080931636,1.661485808734701e-08
5093.000694515999,1.723717641614523e-08
5094.9204573960005,1.687034106981008e-08
5096.840221494001,1.7027788938259276e-08
5098.759984374,1.744866889542328e-08
5100.679747253999,1.6862387226909956e-08
5102.599511351999,1.6719991332606347e-08
5104.519274232,1.727363882477528e-08
5106.439037112,1.7098682446520725e-08
5108.35880121,1.7941237168896836e-08
5110.27856409,1.7746974866404427e-08
5112.1983269699995,1.6924812531000604e-08
5114.118091068,1.6385818794407925e-08
5116.037853948,1.6261447372139183e-08
5117.957616828,1.6543603944277092e-08
5119.877380926,1.6527723897358806e-08
5121.797143806,1.695375179148075e-08
5123.716906686,1.7067199564934848e-08
5125.636670784,1.7578039585992424e-08
5127.556433663999,1.7821571699478092e-08
5129.476196544,1.756640701507865e-08
5131.395960642,1.7853781663104016e-08
5133.315723522,1.7717184640385282e-08
5135.235486402,1.6762102351813207e-08
5137.1552505,1.679358973167286e-08
5139.075013379999,1.7894129212586634e-08
5140.99477626,1.817324198795029e-08
5142.9145403580005,1.830289228020758e-08
5144.834303238,1.754952803354428e-08
5146.754066118,1.6394542599578395e-08
5148.673830216,1.4491679620418658e-08
5150.5935930959995,1.493655826984365e-08
5152.513355976,1.735487707461675e-08
5154.433120073999,1.8068225800315307e-08
5156.352882954,1.7526964385310613e-08
5158.272645833999,1.7118816728631837e-08
5160.1924099319995,1.709388889700828e-08
5162.112172812,1.6978457667455198e-08
5164.031935692,1.7225564958588776e-08
5165.95169979,1.7469647529504406e-08
5167.87146267,1.7861565591943342e-08
5169.79122555,1.7942113810408923e-08
5171.710989648,1.8359511333677836e-08
5173.630752528001,1.7588213143995045e-08
5175.550515408,1.7034177924381427e-08
5177.470279506,1.681155213170683e-08
