lambdag(A)1,fluxg1,lambda(A)1,flux1,fluxerror,lambda(A),flux,lambdag(A),fluxg,lambda2(galaxy),flux2(galaxy),lambda2,flux2,,waves1m,flux_corr1m,waves2m,flux_corr2m,wavesgm,flux_corrgm,,waves1,flux_corr1,waves2,flux_corr2,wavesg,flux_corrg
3389.15,0.008543898,3744.3967,1.33E-17,9.46E-18,3074.217358,1.17E-17,2782.553366,0.008543898,3872.031242,0.098082393,3179.007588,0.098082393,,3744.3967,1.55E-17,3389.15,0.010034285,3872.031242,0.113822812,,3074.217358,1.40E-17,2782.553366,0.010376642,3179.007588,0.116262597
3391.1,0.01489486,3745.5967,-5.37E-19,8.33E-18,3075.202507,-5.09E-19,2784.154351,0.01489486,3873.951005,0.025870312,3180.583748,0.025870312,,3745.5967,-6.26E-19,3391.1,0.017492009,3873.951005,0.030020447,,3075.202507,-6.07E-19,2784.154351,0.018087597,3180.583748,0.030662813
3393.05,0.017423011,3746.7966,-5.87E-18,7.72E-18,3076.187656,-1.87E-18,2785.755337,0.01742301,3875.870768,0.049415611,3182.159908,0.049415611,,3746.7966,-6.84E-18,3393.05,0.020459712,3875.870768,0.057339889,,3076.187656,-2.23E-18,2785.755337,0.021154927,3182.159908,0.058564707
3395,0.012453299,3747.9965,3.02E-17,9.25E-18,3077.172806,2.37E-17,2787.356322,0.0124533,3877.790532,0.113845065,3183.736069,0.113845065,,3747.9965,3.52E-17,3395,0.014622914,3877.790532,0.132094287,,3077.172806,2.83E-17,2787.356322,0.015118786,3183.736069,0.134911071
3396.95,0.010356135,3749.1964,-2.26E-18,7.89E-18,3078.157955,3.61E-18,2788.957307,0.01035613,3879.710295,0.151411772,3185.312229,0.151411772,,3749.1964,-2.63E-18,3396.95,0.012159635,3879.710295,0.175673623,,3078.157955,4.30E-18,2788.957307,0.012571128,3185.312229,0.179413331
3398.9,0.015403515,3750.3963,2.44E-17,9.07E-18,3079.143104,2.13E-17,2790.558292,0.01540351,3881.630058,0.125364378,3186.888389,0.125364378,,3750.3963,2.84E-17,3398.9,0.018084902,3881.630058,0.145444771,,3079.143104,2.54E-17,2790.558292,0.018695668,3186.888389,0.148535757
3400.85,0.009234474,3751.5962,2.17E-17,8.66E-18,3080.128254,2.17E-17,2792.159278,0.009234474,3883.549821,0.030785242,3188.46455,0.030785242,,3751.5962,2.52E-17,3400.85,0.010841319,3883.549821,0.035714414,,3080.128254,2.59E-17,2792.159278,0.011206711,3188.46455,0.036472148
3402.8,0.00546187,3752.7961,1.32E-17,8.36E-18,3081.113403,1.42E-17,2793.760263,0.00546187,3885.469585,0.014040178,3190.04071,0.014040178,,3752.7961,1.53E-17,3402.8,0.006411876,3885.469585,0.016287353,,3081.113403,1.69E-17,2793.760263,0.006627539,3190.04071,0.016632342
3404.75,0.001088457,3753.996,1.94E-17,8.66E-18,3082.098553,1.93E-17,2795.361248,0.001088457,3887.389348,0.075900659,3191.61687,0.075900659,,3753.996,2.26E-17,3404.75,0.0012777,3887.389348,0.08804412,,3082.098553,2.30E-17,2795.361248,0.001320588,3191.61687,0.089905957
3406.7,0.003618613,3755.1959,2.29E-17,9.01E-18,3083.083702,2.19E-17,2796.962233,0.003618613,3889.309111,0.071713671,3193.193031,0.071713671,,3755.1959,2.66E-17,3406.7,0.004247504,3889.309111,0.083182816,,3083.083702,2.61E-17,2796.962233,0.004389788,3193.193031,0.084938996
3408.65,-0.000328635,3756.3959,1.07E-17,8.25E-18,3084.068851,1.12E-17,2798.563218,-0.000329,3891.228875,0.022299007,3194.769191,0.022299007,,3756.3959,1.25E-17,3408.65,-0.000385726,3891.228875,0.025863898,,3084.068851,1.34E-17,2798.563218,-0.000399064,3194.769191,0.026409067
3410.6,-0.004210143,3757.5958,5.03E-18,7.73E-18,3085.054001,5.96E-18,2800.164204,-0.004210143,3893.148638,0.033567049,3196.345351,0.033567049,,3757.5958,5.85E-18,3410.6,-0.004941252,3893.148638,0.038931253,,3085.054001,7.10E-18,2800.164204,-0.005106102,3196.345351,0.039750553
3412.55,-0.004813007,3758.7957,1.47E-17,7.81E-18,3086.03915,1.43E-17,2801.765189,-0.004813007,3895.068401,0.080961123,3197.921512,0.080961123,,3758.7957,1.71E-17,3412.55,-0.005648474,3895.068401,0.093894133,,3086.03915,1.70E-17,2801.765189,-0.005836534,3197.921512,0.095866999
3414.5,0.00550912,3759.9956,1.94E-17,7.63E-18,3087.024299,1.87E-17,2803.366174,0.00550912,3896.988165,0.092337415,3199.497672,0.092337415,,3759.9956,2.26E-17,3414.5,0.006465044,3896.988165,0.107081958,,3087.024299,2.23E-17,2803.366174,0.006679853,3199.497672,0.109328412
3416.45,0.009220789,3761.1955,1.33E-17,7.52E-18,3088.009449,1.40E-17,2804.967159,0.009220789,3898.907928,0.065436482,3201.073832,0.065436482,,3761.1955,1.54E-17,3416.45,0.01082012,3898.907928,0.075881367,,3088.009449,1.67E-17,2804.967159,0.0111789,3201.073832,0.077470812
3418.4,0.003814694,3762.3954,1.17E-17,7.12E-18,3088.994598,1.05E-17,2806.568144,0.003814694,3900.827691,0.042427834,3202.649993,0.042427834,,3762.3954,1.37E-17,3418.4,0.004476087,3900.827691,0.049197454,,3088.994598,1.25E-17,2806.568144,0.004624206,3202.649993,0.050226393
3420.35,0.007370548,3763.5953,-6.72E-19,6.64E-18,3089.979747,1.32E-18,2808.16913,0.007370548,3902.747454,0.014405597,3204.226153,0.014405597,,3763.5953,-7.82E-19,3420.35,0.008647958,3902.747454,0.016703195,,3089.979747,1.57E-18,2808.16913,0.008933548,3204.226153,0.017052006
3422.3,0.004604403,3764.7952,8.39E-18,6.86E-18,3090.964897,6.45E-18,2809.770115,0.004604403,3904.667218,0.001713031,3205.802313,0.001713031,,3764.7952,9.76E-18,3422.3,0.005402096,3904.667218,0.00198614,,3090.964897,7.69E-18,2809.770115,0.005580131,3205.802313,0.002027555
3424.25,0.010589894,3765.9952,5.97E-18,6.75E-18,3091.950046,9.47E-18,2811.3711,0.01058989,3906.586981,0.014293185,3207.378474,0.014293185,,3765.9952,6.94E-18,3424.25,0.012423838,3906.586981,0.016571055,,3091.950046,1.13E-17,2811.3711,0.01283245,3207.378474,0.016916081
3426.2,0.018203082,3767.1951,3.59E-17,7.74E-18,3092.935196,3.12E-17,2812.972085,0.01820308,3908.506744,0.025717355,3208.954634,0.025717355,,3767.1951,4.18E-17,3426.2,0.021354256,3908.506744,0.029814247,,3092.935196,3.72E-17,2812.972085,0.022055163,3208.954634,0.030434103
3428.15,0.011091216,3768.395,1.30E-17,6.72E-18,3093.920345,1.59E-17,2814.573071,0.01109122,3910.426508,0.006127064,3210.530794,0.006127064,,3768.395,1.51E-17,3428.15,0.013010505,3910.426508,0.007102746,,3093.920345,1.89E-17,2814.573071,0.013436686,3210.530794,0.007250204
3430.1,0.003916249,3769.5949,1.59E-17,7.08E-18,3094.905494,1.50E-17,2816.174056,0.003916249,3912.346271,0.02327003,3212.106955,0.02327003,,3769.5949,1.85E-17,3430.1,0.004593681,3912.346271,0.026974107,,3094.905494,1.79E-17,2816.174056,0.004743848,3212.106955,0.027533311
3432.05,0.001328729,3770.7948,1.49E-17,7.27E-18,3095.890644,1.51E-17,2817.775041,0.001328729,3914.266034,0.102331713,3213.683115,0.102331713,,3770.7948,1.73E-17,3432.05,0.001558485,3914.266034,0.11861418,,3095.890644,1.80E-17,2817.775041,0.001609329,3213.683115,0.121069732
3434,-0.007944875,3771.9947,1.30E-17,7.49E-18,3096.875793,1.23E-17,2819.376026,-0.007944874,3916.185797,0.086757734,3215.259275,0.086757734,,3771.9947,1.51E-17,3434,-0.00931814,3916.185797,0.100556639,,3096.875793,1.47E-17,2819.376026,-0.009621512,3215.259275,0.102635477
3435.95,-0.001078082,3773.1946,4.43E-18,7.26E-18,3097.860942,5.19E-18,2820.977011,-0.001078082,3918.105561,0.009220188,3216.835436,0.009220188,,3773.1946,5.15E-18,3435.95,-0.001264358,3918.105561,0.010686081,,3097.860942,6.18E-18,2820.977011,-0.001305438,3216.835436,0.010906695
3437.9,0.013769979,3774.3945,7.82E-18,7.29E-18,3098.846092,8.32E-18,2822.577997,0.01376998,3920.025324,0.009285169,3218.411596,0.009285169,,3774.3945,9.09E-18,3437.9,0.016148326,3920.025324,0.0107608,,3098.846092,9.91E-18,2822.577997,0.01667194,3218.411596,0.010982658
3439.85,0.009068171,3775.5945,1.79E-17,7.13E-18,3099.831241,1.67E-17,2824.178982,0.009068171,3921.945087,0.038932294,3219.987756,0.038932294,,3775.5945,2.08E-17,3439.85,0.01063384,3921.945087,0.04511706,,3099.831241,1.99E-17,2824.178982,0.010977946,3219.987756,0.046046008
3441.8,-0.000525762,3776.7944,1.27E-17,7.03E-18,3100.816391,1.33E-17,2825.779967,-0.000526,3923.864851,0.033923406,3221.563917,0.033923406,,3776.7944,1.47E-17,3441.8,-0.000616504,3923.864851,0.039310289,,3100.816391,1.58E-17,2825.779967,-0.000636701,3221.563917,0.040118614
3443.75,0.000901969,3777.9943,1.05E-17,6.85E-18,3101.80154,9.60E-18,2827.380952,0.000902,3925.784614,0.018020637,3223.140077,0.018020637,,3777.9943,1.22E-17,3443.75,0.001057584,3925.784614,0.020881076,,3101.80154,1.14E-17,2827.380952,0.001091706,3223.140077,0.021309891
3445.7,-0.005240284,3779.1942,3.25E-19,6.42E-18,3102.786689,1.49E-18,2828.981938,-0.005240284,3927.704377,0.024177119,3224.716237,0.024177119,,3779.1942,3.78E-19,3445.7,-0.006144047,3927.704377,0.028013229,,3102.786689,1.77E-18,2828.981938,-0.006341659,3224.716237,0.028587778
3447.65,-0.002802267,3780.3941,4.68E-18,6.42E-18,3103.771839,4.38E-18,2830.582923,-0.002802267,3929.62414,0.030668639,3226.292398,0.030668639,,3780.3941,5.45E-18,3447.65,-0.003285382,3929.62414,0.035532762,,3103.771839,5.21E-18,2830.582923,-0.003390836,3226.292398,0.036260621
3449.6,0.002596875,3781.594,7.96E-18,6.56E-18,3104.756988,7.96E-18,2832.183908,0.002596875,3931.543904,-0.004891923,3227.868558,-0.004891923,,3781.594,9.26E-18,3449.6,0.003044416,3931.543904,-0.005667478,,3104.756988,9.48E-18,2832.183908,0.003141939,3227.868558,-0.005783428
3451.55,0.010258312,3782.7939,9.35E-18,6.60E-18,3105.742137,9.79E-18,2833.784893,0.01025831,3933.463667,-0.029855471,3229.444718,-0.029855471,,3782.7939,1.09E-17,3451.55,0.012025574,3933.463667,-0.034586765,,3105.742137,1.17E-17,2833.784893,0.01241001,3229.444718,-0.035293509
3453.5,0.018732324,3783.9938,1.45E-17,6.73E-18,3106.727287,1.37E-17,2835.385878,0.01873232,3935.38343,0.009237159,3231.020879,0.009237159,,3783.9938,1.69E-17,3453.5,0.021958291,3935.38343,0.010700403,,3106.727287,1.63E-17,2835.385878,0.022658839,3231.020879,0.010918793
3455.45,0.011259898,3785.1937,1.14E-17,6.57E-18,3107.712436,1.20E-17,2836.986864,0.0112599,3937.303194,0.048742551,3232.597039,0.048742551,,3785.1937,1.32E-17,3455.45,0.013198312,3937.303194,0.056460618,,3107.712436,1.43E-17,2836.986864,0.01361854,3232.597039,0.057611593
3457.4,-0.003694893,3786.3937,1.25E-17,6.80E-18,3108.697586,1.13E-17,2838.587849,-0.003694893,3939.222957,0.041663688,3234.173199,0.041663688,,3786.3937,1.45E-17,3457.4,-0.004330748,3939.222957,0.048258152,,3108.697586,1.35E-17,2838.587849,-0.004468358,3234.173199,0.049240777
3459.35,-0.003039874,3787.5936,5.31E-18,6.42E-18,3109.682735,7.46E-18,2840.188834,-0.003039874,3941.14272,0.069472685,3235.74936,0.069472685,,3787.5936,6.17E-18,3459.35,-0.00356282,3941.14272,0.080464187,,3109.682735,8.88E-18,2840.188834,-0.003675801,3235.74936,0.08210072
3461.3,0.007382514,3788.7935,2.08E-17,6.81E-18,3110.667884,1.86E-17,2841.789819,0.007382513,3943.062483,0.105320409,3237.32552,0.105320409,,3788.7935,2.41E-17,3461.3,0.008652069,3943.062483,0.121976618,,3110.667884,2.21E-17,2841.789819,0.00892588,3237.32552,0.124454686
3463.25,0.006637109,3789.9934,1.11E-17,6.49E-18,3111.653034,1.15E-17,2843.390805,0.006637109,3944.982247,0.062620044,3238.90168,0.062620044,,3789.9934,1.29E-17,3463.25,0.007778075,3944.982247,0.07251918,,3111.653034,1.37E-17,2843.390805,0.008023732,3238.90168,0.073990856
