F_peak,nu_peak,Radius,Bfield,v_shock,Mdot,den,RuledOut,,
0.00115139539932645,0.477047738174997,1.26012304130396E+017,0.0492665719661644,8147.78975942232,0.218831853234116,6.91578195112206E-023,True,,
0.00115139539932645,0.549270570993779,1.09443119369863E+017,0.056725304302427,7076.44807699308,0.251961989039842,1.05563738272589E-022,True,,
0.00115139539932645,0.632427608427648,9.50525939515534E+016,0.0653132543992071,6145.97564062938,0.290107874985615,1.61134386781464E-022,True,,
0.00115139539932645,0.728174238750622,8.25542589514932E+016,0.0752013806302849,5337.84974668538,0.334028872566809,2.45958423112989E-022,True,,
0.00115139539932645,0.838416468405504,7.16993128509862E+016,0.0865865236807071,4635.98321637203,0.384599307115624,3.75435356217755E-022,True,,
0.00115139539932645,0.965348864441625,6.22716687012381E+016,0.0996953250096366,4026.40415193948,0.442825872797069,5.73071273243616E-022,True,,
0.00115139539932645,1.1114982412631,5.40836525295014E+016,0.11478873855045,3496.97780127911,0.509867672641264,8.74746287951043E-022,True,,
0.00115139539932645,1.27977396134977,4.69722673558881E+016,0.132167225461475,3037.1649941669,0.587059292544434,1.33522845064831E-021,True,,
0.00115139539932645,1.4735258512759,4.07959484494782E+016,0.152176735338084,2637.81234139342,0.6759373685675,2.03811669735313E-021,True,,
0.00115139539932645,1.69661088594766,3.54317452313456E+016,0.175215592952788,2290.97002032187,0.778271176401445,3.11101794603967E-021,True,,
0.00115139539932645,1.95346996852731,3.07728737252839E+016,0.201742427616096,1989.73351957291,0.896097851937006,4.74871368903955E-021,True,,
0.00115139539932645,2.24921633448472,2.67265908334233E+016,0.232285303006121,1728.10619248338,1.03176294406658,7.24852189592095E-021,True,,
0.00115139539932645,2.5897373396156,2.32123481204267E+016,0.267452229212398,1500.87988322196,1.18796710699377,1.10642740573968E-020,True,,
0.00115139539932645,2.98181165829732,2.01601883540665E+016,0.307943266254757,1303.53124921288,1.36781986154378,1.68887067149613E-020,True,,
0.00115139539932645,3.4332442250215,1.75093528824763E+016,0.354564460019287,1132.13171598169,1.57490149568884,2.577922537207E-020,True,,
0.00115139539932645,3.95302160545385,1.52070721254567E+016,0.408243888030873,983.269271914735,1.81333433652848,3.93498727877872E-020,True,,
0.00115139539932645,4.55149088995761,1.32075151024163E+016,0.470050134481888,853.980546118159,2.08786481251956,6.00643528293383E-020,True,,
0.00115139539932645,5.24056567077343,1.14708770854413E+016,0.541213562295224,741.691817266013,2.4039579395506,9.16833073454544E-020,True,,
0.00115139539932645,6.03396320319664,9.96258721560954E+015,0.623150805679799,644.167779113841,2.76790611177285,1.39947047622151E-019,True,,
0.00115139539932645,6.94747747186569,8652620308746704,0.717492970746289,559.46704276452,3.18695436286281,2.13617687943579E-019,True,,
0.00115139539932645,7.99929359803029,7514899150898455,0.826118105566342,485.903489880021,3.66944459126359,3.26069876983511E-019,True,,
0.00115139539932645,9.21034984663358,6526775385149686,0.951188586049367,422.012707506273,4.22498162046422,4.9771891878225E-019,True,,
0.00115139539932645,10.604754439601,5668578655922869,1.09519416186907,366.522836336801,4.86462440004129,7.59727100232257E-019,True,,
0.00115139539932645,12.2102654727432,4923225035673169,1.26100151934523,318.329252098117,5.60110615365872,1.15966109594445E-018,True,,
0.00115139539932645,14.0588434898712,4275876939019553,1.45191134791776,276.472576044976,6.44908785646171,1.77012753268374E-018,True,,
0.00115139539932645,16.1872877140882,3713647754299602,1.67172404622237,240.119576825398,7.42545008778207,2.70195447008003E-018,True,,
0.00115139539932645,18.6379686015747,3225345312715370,1.92481537576383,208.54658353322,8.54962906900044,4.12431184961958E-018,True,,
0.00115139539932645,21.4596713006439,2801249088368914,2.21622356820728,181.125079755588,9.84400357599477,6.29542370949306E-018,True,,
0.00115139539932645,24.7085668066192,2432916693959010,2.5517496203127,157.309191839349,11.3343404283535,9.60944786115116E-018,True,,
0.00115139539932645,28.4493301450915,2113015820092940,2.93807277306106,136.624822308108,13.0503074236059,1.46680338698947E-017,True,,
0.00115139539932645,32.7564278429775,1835178272667259,3.3828834737888,118.660212111349,15.0260639273357,2.23895504421422E-017,True,,
0.00115139539932645,37.7156003167731,1593873202672876,3.89503646817789,103.057743830455,17.3009408759194,3.41758120718621E-017,True,,
0.00115139539932645,43.4255686875676,1384297004838890,4.48472706966876,89.5068226699034,19.9202237285524,5.21665735892944E-017,True,,
0.00115139539932645,50,1202277693352505,5.16369411525139,77.7376935171565,22.9360539546088,7.96279952126682E-017,True,,
0.00132571136559011,0.05,1.28530401311857E+018,0.00508763357442287,83106.0660949042,0.0222653402021149,6.76354318251934E-026,True,,
0.00132571136559011,0.0575697699663224,1.11630115412173E+018,0.00585787789104926,72178.563631156,0.0256362102731533,1.03239938355631E-025,True,,
0.00132571136559011,0.0662855682795055,9.69520248886485E+017,0.00674473365357023,62687.9034546947,0.0295174145646741,1.57587296836098E-025,True,,
0.00132571136559011,0.0763208983587617,8.42039363240155E+017,0.00776585529840302,54445.157147029,0.0339862153297772,2.40544081289197E-025,True,,
0.00132571136559011,0.0878755312427396,7.31320764120421E+017,0.00894157006241615,47286.2382278745,0.0391315719712235,3.67170807577491E-025,True,,
0.00132571136559011,0.101179482386258,6.35160401499116E+017,0.0102952826326211,41068.635722825,0.0450559119360785,5.60456117708522E-025,True,,
0.00132571136559011,0.116497590525769,5.51644032858458E+017,0.0118539410579654,35668.5772297246,0.0518771697156583,8.55490287883565E-025,True,,
0.00132571136559011,0.134134789763986,4.79109116799635E+017,0.0136485731980282,30978.5650095443,0.0597311345406863,1.30583574616939E-024,True,,
0.00132571136559011,0.154442179823874,4.16111717208449E+017,0.0157149043875799,26905.2360532849,0.0687741535066953,1.99325114513263E-024,True,,
0.00132571136559011,0.177824015311156,3.61397759146744E+017,0.0180940686127145,23367.5035257429,0.0791862439401797,3.04253436102305E-024,True,,
0.00132571136559011,0.204745753119021,3.13878064267199E+017,0.0208334273557766,20294.9425882826,0.0911746769626648,4.64417911441361E-024,True,,
0.00132571136559011,0.23574331817287,2.72606668787121E+017,0.0239875124096429,17626.3884675541,0.104978103589887,7.0889584430209E-024,True,,
0.00132571136559011,0.271433771966193,2.36761992402082E+017,0.0276191114297489,15308.7188622304,0.120871305503411,1.08207135359857E-023,True,,
0.00132571136559011,0.312527596263699,2.0563048327324E+017,0.0318005178336974,13295.796449409,0.139170665067209,1.65169315589848E-023,True,,
0.00132571136559011,0.359842836500576,1.78592413512796E+017,0.0366149699299178,11547.5504393946,0.160240463479587,2.5211741094238E-023,True,,
0.00132571136559011,0.414321386427342,1.55109542401568E+017,0.0421583079237836,10029.1788955816,0.184500132436334,3.84836545900151E-023,True,,
0.00132571136559011,0.477047738174997,1.34714401753129E+017,0.0485408817868321,8710.45594019965,0.212432603662315,5.87421418087646E-023,True,,
0.00132571136559011,0.549270570993779,1.17000990130702E+017,0.0558897479686074,7565.13005462343,0.244593922523728,8.96650606872538E-023,True,,
0.00132571136559011,0.632427608427648,1.01616690668685E+017,0.0643511986805692,6570.40149634864,0.28162431709703,1.36866359660882E-022,True,,
0.00132571136559011,0.728174238750622,8.82552516087255E+016,0.0740936741019495,5706.4684296917,0.324260943043973,2.08915270488238E-022,True,,
0.00132571136559011,0.838416468405504,7.66506898154654E+016,0.0853111154801779,4956.13273514026,0.373352558002085,3.1889202249052E-022,True,,
0.00132571136559011,0.965348864441625,6.65719959106187E+016,0.098226825875284,4304.45765029072,0.429876417610362,4.86762512718378E-022,True,,
0.00132571136559011,1.1114982412631,5.78185356217009E+016,0.113097915403242,3738.47042710851,0.494957729515505,7.43003045160696E-022,True,,
0.00132571136559011,1.27977396134977,5.02160558010949E+016,0.130220419468705,3246.90408637682,0.569892052625217,1.1341331977992E-021,True,,
0.00132571136559011,1.4735258512759,4.36132156081835E+016,0.149935191874627,2819.97312849801,0.65617108750538,1.7311612902906E-021,True,,
0.00132571136559011,1.69661088594766,3.78785738015774E+016,0.172634690121573,2449.17873577371,0.755512371324726,2.64247569757783E-021,True,,
0.00132571136559011,1.95346996852731,3.289797216815E+016,0.198770787970126,2127.13958836942,0.869893468477504,4.0335223826067E-021,True,,
0.00132571136559011,2.24921633448472,2.85722630013937E+016,0.228863770789296,1847.44492605561,1.00159133750912,6.15684103581433E-021,True,,
0.00132571136559011,2.5897373396156,2.48153353905254E+016,0.263512692759298,1604.52693065853,1.15322765801323,9.39791277810876E-021,True,,
0.00132571136559011,2.98181165829732,2.15524010301258E+016,0.30340730210718,1393.54988876728,1.32782101981245,1.43451429184509E-020,True,,
0.00132571136559011,3.4332442250215,1.87185054263146E+016,0.349341771768256,1210.31392828431,1.528847013341,2.18966838924201E-020,True,,
0.00132571136559011,3.95302160545385,1.62572348623807E+016,0.40223050880652,1051.17141252461,1.76030741743481,3.34234917149465E-020,True,,
0.00132571136559011,4.55149088995761,1.41195933837246E+016,0.463126357308563,912.954327539896,2.02680986183466,5.1018218279427E-020,True,,
0.00132571136559011,5.24056567077343,1.22630274465092E+016,0.533241557111896,792.911217183918,2.3336595502259,7.78751250349851E-020,True,,
0.00132571136559011,6.03396320319664,1.06505788139182E+016,0.613971875588308,688.652410499261,2.68696486972433,1.18869990049419E-019,True,,
0.00132571136559011,6.94747747186569,9.25014883692316E+015,0.706924392868207,598.102451079894,3.09375898915237,1.81445288569375E-019,True,,
0.00132571136559011,7.99929359803029,8033859473760614,0.813949493620096,519.45878143145,3.56213986673488,2.76961348531588E-019,True,,
0.00132571136559011,9.21034984663358,6977498328081145,0.93717770223827,451.155859868232,4.10143145431587,4.22758778611699E-019,True,,
0.00132571136559011,10.604754439601,6060036658269523,1.07906209470848,391.833995630131,4.72236930715207,6.45306595453954E-019,True,,
0.00132571136559011,12.2102654727432,5263210763057222,1.2424271314349,340.312281827206,5.43731429417532,9.85007581637594E-019,True,,
0.00132571136559011,14.0588434898712,4571158410165730,1.4305248831325,295.565087394204,6.26049866300539,1.50353327041545E-018,True,,
0.00132571136559011,16.1872877140882,3970103070448088,1.64709976906076,256.701640085679,7.20830935807378,2.29502019820788E-018,True,,
0.00132571136559011,18.6379686015747,3448079671649330,1.89646309632821,222.948294075039,8.29961423180793,3.50316006557457E-018,True,,
0.00132571136559011,21.4596713006439,2994696412428270,2.18357888410469,193.633129162632,9.55613764268796,5.34728646598381E-018,True,,
0.00132571136559011,24.7085668066192,2600927895126328,2.51416268122452,168.172575012811,11.0028929171212,8.16219413731063E-018,True,,
0.00132571136559011,28.4493301450915,2258935459224380,2.89479534432016,146.059794151679,12.6686802840549,1.24589197827633E-017,True,,
0.00132571136559011,32.7564278429775,1961911138906610,3.33305404144185,126.854592468514,14.5866601945985,1.90175190080049E-017,True,,
0.00132571136559011,37.7156003167731,1703942138429860,3.83766308902257,110.174656371497,16.7950134395989,2.90286827049151E-017,True,,
0.00132571136559011,43.4255686875676,1479893127440540,4.41866762486551,95.6879421577924,19.33770120598,4.43099028442114E-017,True,,
0.00132571136559011,50,1285304013118565,5.08763357442287,83.1060660949042,22.2653402021149,6.76354318251933E-017,True,,
0.00152641796717523,0.05,1.37406392489254E+018,0.00501269339544034,88845.1651867741,0.0216142399776793,5.74490369368562E-026,True,,
0.00152641796717523,0.0575697699663224,1.19339014703059E+018,0.00577159211374408,77163.036467531,0.0248865364702377,8.7691242177331E-026,True,,
0.00152641796717523,0.0662855682795055,1.03647291601887E+018,0.00664538460655374,67016.9748052411,0.0286542435970015,1.33853487623393E-025,True,,
0.00152641796717523,0.0763208983587617,9.00188516147617E+017,0.00765146526274077,58205.0048527597,0.0329923642487668,2.04316368477414E-025,True,,
0.00152641796717523,0.0878755312427396,7.81823964794559E+017,0.00880986190162585,50551.7087238745,0.0379872564089325,3.11872175831921E-025,True,,
0.00152641796717523,0.101179482386258,6.79023005695451E+017,0.0101436344622333,43904.7339892505,0.043738352262279,4.76047292651877E-025,True,,
0.00152641796717523,0.116497590525769,5.89739203485329E+017,0.0116793340522647,38131.7608311916,0.0503601375689075,7.26647140728952E-025,True,,
0.00152641796717523,0.134134789763986,5.12195205774072E+017,0.0134475314949743,33117.8679830563,0.0579844307062871,1.10916725140518E-024,True,,
0.00152641796717523,0.154442179823874,4.44847361795696E+017,0.0154834258956109,28763.2450176801,0.0667630067477822,1.69305282114724E-024,True,,
0.00152641796717523,0.177824015311156,3.86354993302845E+017,0.0178275453420183,24981.2054438521,0.076870618814597,2.58430624557586E-024,True,,
0.00152641796717523,0.204745753119021,3.35553705989148E+017,0.0205265536880835,21696.4610580048,0.088508476846504,3.94473148593017E-024,True,,
0.00152641796717523,0.23574331817287,2.91432210155993E+017,0.0236341794804867,18843.6231990305,0.101908253042456,6.02130901580567E-024,True,,
0.00152641796717523,0.271433771966193,2.53112189197974E+017,0.0272122855206879,16365.9010710428,0.117336693706479,9.19103426763999E-024,True,,
0.00152641796717523,0.312527596263699,2.19830815153545E+017,0.0313321003536778,14213.9712218901,0.135100929305817,1.40293598430489E-023,True,,
0.00152641796717523,0.359842836500576,1.90925563261885E+017,0.0360756361984591,12344.995672386,0.155554588447445,2.14146669323966E-023,True,,
0.00152641796717523,0.414321386427342,1.6582102323283E+017,0.0415373215466805,10721.7691503784,0.179104837482507,3.26877323666835E-023,True,,
0.00152641796717523,0.477047738174997,1.440174446848E+017,0.0478258809291912,9311.97845384006,0.20622048587447,4.98951419907212E-023,True,,
0.00152641796717523,0.549270570993779,1.25080788727355E+017,0.0550664992706053,8087.55919928762,0.237441318682729,7.61608412093963E-023,True,,
0.00152641796717523,0.632427608427648,1.08634087647498E+017,0.0634033139171881,7024.13715046869,0.273388841941299,1.16253276417202E-022,True,,
0.00152641796717523,0.728174238750622,9.43499406989535E+016,0.0730022839463008,6100.54300597147,0.314778654838397,1.77451089866206E-022,True,,
0.00152641796717523,0.838416468405504,8.19439966098068E+016,0.0840544938760938,5298.39098674549,0.362434694987098,2.70864531866605E-022,True,,
0.00152641796717523,0.965348864441625,7.11692930662595E+016,0.0967799575416474,4601.71283457011,0.417305640364429,4.13452488111694E-022,True,,
