SN,time,DL,Flux(Jy),Luminosity(erg/s/Hz),logl,logrt,freqtime,logt
Snr(8.5GHz),0,,0,0,0,0,,0
97eg,(35Mpc),1.079988E+026,0.00052,7.62267450840989E+026,26.8821073755985,2.31597034545692,351.9,
Z,0.0087,1.079988E+026,0.00053,7.76926440280239E+026,26.8903799015645,2.33445375115093,367.2,
,,,,0,0,0,,0
01em,(83.14Mpc),2.565434352E+026,0.001146,9.47921996632693E+027,27.9767726012349,2.89594162097118,1259.104,
Z,0.01951,2.565434352E+026,0.001473,1.21840235692841E+028,28.0857907304462,2.93575658608884,1379.992,
8Ghz,1010.32,2.565434352E+026,0.001804,1.49219134548462E+028,28.1738245168095,3.00445895024119,1616.512,3.20857893289712
,1181.87,2.565434352E+026,0.001491,1.23329118410065E+028,28.0910656270565,3.07256970887383,1890.992,3.27668969152975
,1250.49,2.565434352E+026,0.001426,1.17952597486756E+028,28.0717075091194,3.09708022308597,2000.784,3.30120020574189
,1677.905,2.565434352E+026,0.001041,8.61070504794619E+027,27.9350387131141,3.22476736820678,2684.648,3.42888735086271
,1958.955,2.565434352E+026,0.000771,6.37738097211E+027,27.8046423616545,3.29202445974351,3134.328,3.49614444239943
SN2000ft,(70Mpc),,,,0,0,0,
Z=,0.016,2.159976E+026,0.001777,1.04196096934187E+028,28.017851451097,2.70572690507475,507.84,
5Ghz,640,2.159976E+026,0.001476,8.65466736493307E+027,27.9372503807787,2.80617997398389,640,2.80617997398389
,676.64,2.159976E+026,0.001298,7.61094731685849E+027,27.881438715756,2.83035766780282,676.64,2.83035766780282
,832.48,2.159976E+026,0.0008192,4.80345765945337E+027,27.6815539669234,2.92037380855196,832.48,2.92037380855196
,859.36,2.159976E+026,0.0008653,5.07376942471314E+027,27.7053307270067,2.93417513503142,859.36,2.93417513503142
,923.2,2.159976E+026,0.0007067,4.14380313468713E+027,27.6173991146064,2.96529579581166,923.2,2.96529579581166
,,0,,0,0,0,0,0
8Ghz,200,2.159976E+026,0.001751,1.02671562032506E+028,28.0114501693751,2.30102999566398,320,2.50514997831991
,671.4,2.159976E+026,0.0004071,2.38706984028743E+027,27.3778651256711,2.82698133691199,1074.24,3.03110131956792
,1163,2.159976E+026,0.0001142,6.6962263758493E+026,26.8258301272015,3.06557971472845,1860.8,3.26969969738437
,1691,2.159976E+026,7.336E-05,4.30153386105346E+026,26.6336233459536,3.22814360759774,2705.6,3.43226359025367
,2148,2.159976E+026,3.515E-05,2.06105391515852E+026,26.3140893526475,3.33203427702752,3436.8,3.53615425968344
96cr,(3.8Mpc),,,,0,0,0,
Z,0.001449,1.1725584E+025,0.0018,3.11033839595902E+025,25.4928076416001,3.02036128264771,1048,
5Ghz,1657.6,1.1725584E+025,0.119,2.05627927288402E+027,27.3130820978893,3.21947973806514,1657.6,3.21947973806514
,5078.4,1.1725584E+025,0.227,3.92248231045944E+027,27.5935609936899,3.70572690507475,5078.4,3.70572690507475
,5312,1.1725584E+025,0.24,4.1471178612787E+027,27.6177463782084,3.72525806635996,5312,3.72525806635996
,6256,1.1725584E+025,0.246,4.25079580781067E+027,27.6284702436002,3.79629674005179,6256,3.79629674005179
,6608,1.1725584E+025,0.261,4.50999067414059E+027,27.6541756438351,3.82007003431233,6608,3.82007003431233
